PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC,MeanPrecision
564,298,374,3,8,0.004606994,0.954700588,0.034499168,0.005560719,0.000361,0.997419088,-163.0499597,709.0316604,5.13E-10,0.793335113
585,234,434,4,17,0.005590552,0.953815348,0.031665704,0.008639549,0.000702,0.998736721,-54.29424521,199.7802227,3.33E-10,0.776854195
780,210,350,7,9,0.014382007,0.965446506,0.006279282,0.013360014,0.00065,0.995355108,-998.2814439,971.349345,6.53E-10,0.786741696
952,229,487,4,9,0.008675314,0.960062989,0.010867222,0.020144644,0.000407,0.991178239,-241.5373211,633.8024408,5.95E-10,0.763881452
871,285,321,3,9,0.005113323,0.980181635,0.009627759,0.00440179,0.000491,0.999755799,-794.0306931,411.4946449,5.41E-10,0.771466051
593,287,391,5,18,0.014680937,0.961599684,0.010616479,0.012569444,0.000348,0.998999817,-697.6986957,559.9437646,4.38E-10,0.813490838
715,267,302,3,7,0.008814441,0.950474041,0.034760826,0.005761856,0.000764,0.999732571,-67.100733,886.3320122,4.96E-10,0.872851715
963,266,439,6,9,0.006706529,0.950700501,0.008574753,0.03320675,0.000768,0.996544846,-13.77545852,101.3449496,5.61E-10,0.843705173
895,292,382,7,10,0.002143669,0.969437328,0.006599082,0.02164826,0.000206,0.990310011,-258.3968373,46.59534078,4.33E-10,0.835188805
652,204,427,5,7,0.007547912,0.96106017,0.014334422,0.016341755,0.000841,0.997598098,-113.6400433,640.7862674,7.64E-10,0.724193829
619,295,322,7,9,0.001022301,0.96839414,0.019870421,0.010294854,0.000807,0.992820539,-85.26630737,917.2565663,6.61E-10,0.712310257
885,221,494,7,9,0.02298555,0.955231107,0.012721131,0.008469342,0.000754,0.991336413,-553.7242682,807.4696433,3.62E-10,0.811339263
879,285,471,5,11,0.008591854,0.964496655,0.002716581,0.023731456,0.000947,0.99040431,-520.8913497,649.5664552,7.81E-10,0.828320238
