Dataset Name, Population size, Max Generations, TS, Init_dept_low, Init_depth_high, crossover, subtree mutation, Hoist mutation, Point mutation, stopping criteria, max Samples, ConstRange_low, ConstRange_high, parsimony coeff, MeanACC, StdACC, MeanAUC, StdAUC, MeanPrecision, StdPrecision, MeanRecall, StdRecall, MeanF1Score, StdF1Score, depthSE1, depthSE2, depthSE3,  depthSE4, depthSE5, lengthSE1, lengthSE2, lengthSE3,  lengthSE4, lengthSE5
MaxAbsScaler + ADASYN_CLASS_0,564,298,374,3,8,0.004606994,0.954700588,0.034499168,0.005560719,0.000361,0.997419088,-163.0499597,709.0316604,5.13E-10,0.846354167,0.033854167,0.843783264,0.036361796,0.793335113,0.036286989,0.944412809,0.016593962,0.861515566,0.028415099,20,38,20,24,35,176,174,147,167,276
MaxAbsScaler +  BorderlineSMOTE_Class_0,585,234,434,4,17,0.005590552,0.953815348,0.031665704,0.008639549,0.000702,0.998736721,-54.29424521,199.7802227,3.33E-10,0.826086957,0.065217391,0.824346799,0.065369009,0.776854195,0.06183551,0.927023459,0.049338159,0.844037841,0.057678358,48,38,37,33,31,477,507,423,374,356
MaxAbsScaler + SMOTE_Class_0,780,210,350,7,9,0.014382007,0.965446506,0.006279282,0.013360014,0.00065,0.995355108,-998.2814439,971.349345,6.53E-10,0.82826087,0.058695652,0.829201403,0.060376727,0.786741696,0.058992778,0.8918491,0.049299316,0.833239249,0.056058816,45,52,25,39,35,397,410,191,206,319
MaxAbsScaler + SVMSMOTE_Class_0,952,229,487,4,9,0.008675314,0.960062989,0.010867222,0.020144644,0.000407,0.991178239,-241.5373211,633.8024408,5.95E-10,0.818478261,0.05326087,0.819825416,0.05389801,0.763881452,0.048620732,0.930851081,0.044417514,0.835445918,0.048639458,18,29,21,21,20,172,707,291,207,303
MinMaxScaler + ADASYN_CLASS_0,871,285,321,3,9,0.005113323,0.980181635,0.009627759,0.00440179,0.000491,0.999755799,-794.0306931,411.4946449,5.41E-10,0.816111111,0.060555556,0.813064492,0.060282772,0.771466051,0.06426487,0.91962687,0.032768284,0.837083186,0.05220422,27,17,30,35,27,201,227,294,180,299
MinMaxScaler +  BorderlineSMOTE_Class_0,593,287,391,5,18,0.014680937,0.961599684,0.010616479,0.012569444,0.000348,0.998999817,-697.6986957,559.9437646,4.38E-10,0.838586957,0.064673913,0.844767279,0.058844771,0.813490838,0.063305653,0.87975511,0.052145682,0.839549264,0.063277088,47,44,41,44,37,490,885,596,706,197
MinMaxScaler + KMeansSMOTE_Class_0,715,267,302,3,7,0.008814441,0.950474041,0.034760826,0.005761856,0.000764,0.999732571,-67.100733,886.3320122,4.96E-10,0.88423913,0.0625,0.882028175,0.064743663,0.872851715,0.06887678,0.908379617,0.043918688,0.888769535,0.058094963,24,33,34,19,26,152,248,483,174,160
MinMaxScaler + SMOTE_Class_0,963,266,439,6,9,0.006706529,0.950700501,0.008574753,0.03320675,0.000768,0.996544846,-13.77545852,101.3449496,5.61E-10,0.856521739,0.047826087,0.858744843,0.043310124,0.843705173,0.044893006,0.898226799,0.037868639,0.863181932,0.047636576,27,30,42,44,24,278,356,379,288,166
MinMaxScaler + SVMSMOTE_Class_0,895,292,382,7,10,0.002143669,0.969437328,0.006599082,0.02164826,0.000206,0.990310011,-258.3968373,46.59534078,4.33E-10,0.860326087,0.069021739,0.861148672,0.070455597,0.835188805,0.061152797,0.877779451,0.076761194,0.852455966,0.071966853,36,31,30,45,27,320,279,378,436,306
Normalizer + ADASYN_CLASS_0,652,204,427,5,7,0.007547912,0.96106017,0.014334422,0.016341755,0.000841,0.997598098,-113.6400433,640.7862674,7.64E-10,0.778656418,0.056530814,0.787021555,0.048522797,0.724193829,0.054457239,0.923347431,0.014637622,0.804770926,0.04489042,47,6,26,19,28,265,13,287,253,293
