,PS,MG,TS,ID_low,ID_high,CR,SM,HM,PM,SC,MS,CR_low,CR_high,PC, MeanACC, MeanAUC, MeanPrecision, MeanRecall, MeanF1Score,Mean depth,Mean length
PS,1.0,0.04056791601808241,-0.1063021774585986,0.050475820785198564,-0.12081416017895147,0.06006028102182155,0.08574307146073772,-0.193399000349412,0.0522906411150242,0.054769880223889976,-0.09978577339840887,-0.027681363970145163,0.008714181119687966,0.06161139581041398,0.041919510968406876,0.04295457092009518,0.04819970802655198,0.04160825349723184,0.04372085447958014,0.16568887405610982,0.07980585128911388
MG,0.04056791601808241,1.0,0.06673802224902443,-0.07834431564290624,-0.010433944249536567,-0.021925133365217907,-0.08037324929486225,0.01064382426688304,0.0851212879512753,-0.019871965933980988,0.007885191010785258,-0.08837798142230902,0.0534513318123644,-0.1704970544387481,-0.018396876593489625,-0.01667534607607925,-0.039581068782327686,-0.006571030636944203,-0.023965693118263912,0.02386847560910671,0.020779903699386166
TS,-0.1063021774585986,0.06673802224902443,1.0,-0.04397166913162795,-0.12271850303993428,-0.12750014039615518,0.1541891547540738,-0.031496610217612846,0.004690388062783706,0.019137132188793402,-0.11212687871926272,-0.11697549755788751,-0.08276740151077037,-0.05488929468916249,0.008863664538772138,0.017600778671620212,0.02947087058151336,0.06680314251533331,0.0488632499517481,-0.15322931622775737,-0.12303848063368436
ID_low,0.050475820785198564,-0.07834431564290624,-0.04397166913162795,1.0,-0.03761645637949481,-0.029597172721503303,0.04236110031225314,0.04609544058498945,-0.05722551373271724,-0.031823606034827416,-0.10566271539727615,0.003702228567179717,-0.0023016646133184244,-0.004437716332228423,0.04505235650713564,0.053922530088230884,0.0599195057627529,0.083755238457673,0.07458257595745224,0.11832748833567511,0.044204359993357825
ID_high,-0.12081416017895147,-0.010433944249536567,-0.12271850303993428,-0.03761645637949481,1.0,0.048538127478008834,-0.1843385607728005,0.06243895274848326,0.06511270865801076,0.054506010455466575,-0.08637729708163125,-0.0311440164398499,-0.03428583642397702,-0.0837783259993422,0.01150874019088782,-0.001963698472432181,-0.01590399964985846,0.0006225747154333872,-0.007290036091553599,0.3255638166131152,0.24670926079004862
CR,0.06006028102182155,-0.021925133365217907,-0.12750014039615518,-0.029597172721503303,0.048538127478008834,1.0,-0.3113031430876748,-0.3297293375002535,-0.32123863107987194,0.09168496945675784,-0.0005001547375449162,-0.03363564186718409,0.0004775224555770614,0.11616446803622464,0.024238435348093633,0.0023349115824183478,0.0018134334678068572,-0.09922372232367332,-0.047037019493014164,0.159508637588257,0.31124360861627287
SM,0.08574307146073772,-0.08037324929486225,0.1541891547540738,0.04236110031225314,-0.1843385607728005,-0.3113031430876748,1.0,-0.33451455431353344,-0.341030618709507,-0.17911929049766714,-0.0333117203863391,0.001449321491373154,0.057691361292875255,0.021699750223923266,0.03250521601217139,0.04091936188683276,0.04846267226169352,0.08572739191653246,0.0669970923139305,-0.09750126175172096,-0.14073943233437555
HM,-0.193399000349412,0.01064382426688304,-0.031496610217612846,0.04609544058498945,0.06243895274848326,-0.3297293375002535,-0.33451455431353344,1.0,-0.3605605240543207,-0.018456692352739192,0.07046847108699719,0.0653507331134814,0.07592991873444206,-0.10614056352445154,-0.009552824339524339,-0.00525818538302274,0.003944835945740453,0.00889383963634039,0.00798465925867115,-0.0184311287426045,-0.10177578557197035
PM,0.0522906411150242,0.0851212879512753,0.004690388062783706,-0.05722551373271724,0.06511270865801076,-0.32123863107987194,-0.341030618709507,-0.3605605240543207,1.0,0.10195197481334761,-0.03580000812827954,-0.03672822040101123,-0.1332910686255209,-0.024629768233903768,-0.04354554353681078,-0.03483856832804375,-0.05060561550034901,0.004425568632477396,-0.025996601827963376,-0.04000276373793303,-0.05887111046921547
SC,0.054769880223889976,-0.019871965933980988,0.019137132188793402,-0.031823606034827416,0.054506010455466575,0.09168496945675784,-0.17911929049766714,-0.018456692352739192,0.10195197481334761,1.0,0.025499616185923633,0.09485894546133466,0.17042495186590245,-0.06491463356278818,-0.15666945631569107,-0.16888650298487037,-0.17941819277213694,-0.15725221645043216,-0.18131051419312547,-0.03897003426229209,-0.06796680472616362
MS,-0.09978577339840887,0.007885191010785258,-0.11212687871926272,-0.10566271539727615,-0.08637729708163125,-0.0005001547375449162,-0.0333117203863391,0.07046847108699719,-0.03580000812827954,0.025499616185923633,1.0,-0.000989575936838288,-0.01374706984791668,0.0036143759761773546,-0.11822912137235203,-0.10937886891706425,-0.08583376792520928,-0.08720117297169067,-0.09121024845809185,0.03573474494966883,-0.05357857246798946
CR_low,-0.027681363970145163,-0.08837798142230902,-0.11697549755788751,0.003702228567179717,-0.0311440164398499,-0.03363564186718409,0.001449321491373154,0.0653507331134814,-0.03672822040101123,0.09485894546133466,-0.000989575936838288,1.0,0.08243559009579858,0.09672302746557747,0.0034841519744808268,-0.011270085317607285,-0.03348021687656966,-0.05479350059205932,-0.046671442842069685,-0.05732464638345558,-0.017240561012977385
CR_high,0.008714181119687966,0.0534513318123644,-0.08276740151077037,-0.0023016646133184244,-0.03428583642397702,0.0004775224555770614,0.057691361292875255,0.07592991873444206,-0.1332910686255209,0.17042495186590245,-0.01374706984791668,0.08243559009579858,1.0,-0.00041372200129103785,0.059409696989072565,0.048043638498518025,0.02348795705909736,0.03505946999988209,0.03219232698188502,-0.1763584340996604,-0.23829847182261085
PC,0.06161139581041398,-0.1704970544387481,-0.05488929468916249,-0.004437716332228423,-0.0837783259993422,0.11616446803622464,0.021699750223923266,-0.10614056352445154,-0.024629768233903768,-0.06491463356278818,0.0036143759761773546,0.09672302746557747,-0.00041372200129103785,1.0,-0.017799240432452186,-0.020549756755756036,-0.012885597823430902,-0.0587266674998827,-0.0361816867436907,0.008087998910103684,0.09933000239785288
 MeanACC,0.041919510968406876,-0.018396876593489625,0.008863664538772138,0.04505235650713564,0.01150874019088782,0.024238435348093633,0.03250521601217139,-0.009552824339524339,-0.04354554353681078,-0.15666945631569107,-0.11822912137235203,0.0034841519744808268,0.059409696989072565,-0.017799240432452186,1.0,0.9939930802881848,0.9371339861135524,0.821198468967354,0.9313010645756226,-0.3565553161696781,-0.1234528323975293
 MeanAUC,0.04295457092009518,-0.01667534607607925,0.017600778671620212,0.053922530088230884,-0.001963698472432181,0.0023349115824183478,0.04091936188683276,-0.00525818538302274,-0.03483856832804375,-0.16888650298487037,-0.10937886891706425,-0.011270085317607285,0.048043638498518025,-0.020549756755756036,0.9939930802881848,1.0,0.9606785385649702,0.8588885410035189,0.9615146099135526,-0.35936934938745907,-0.13162541995572172
 MeanPrecision,0.04819970802655198,-0.039581068782327686,0.02947087058151336,0.0599195057627529,-0.01590399964985846,0.0018134334678068572,0.04846267226169352,0.003944835945740453,-0.05060561550034901,-0.17941819277213694,-0.08583376792520928,-0.03348021687656966,0.02348795705909736,-0.012885597823430902,0.9371339861135524,0.9606785385649702,1.0,0.8176327751840787,0.9605583931849746,-0.355031246948198,-0.15116301840523835
 MeanRecall,0.04160825349723184,-0.006571030636944203,0.06680314251533331,0.083755238457673,0.0006225747154333872,-0.09922372232367332,0.08572739191653246,0.00889383963634039,0.004425568632477396,-0.15725221645043216,-0.08720117297169067,-0.05479350059205932,0.03505946999988209,-0.0587266674998827,0.821198468967354,0.8588885410035189,0.8176327751840787,1.0,0.9445164055578146,-0.30257045837833263,-0.13545141163422525
 MeanF1Score,0.04372085447958014,-0.023965693118263912,0.0488632499517481,0.07458257595745224,-0.007290036091553599,-0.047037019493014164,0.0669970923139305,0.00798465925867115,-0.025996601827963376,-0.18131051419312547,-0.09121024845809185,-0.046671442842069685,0.03219232698188502,-0.0361816867436907,0.9313010645756226,0.9615146099135526,0.9605583931849746,0.9445164055578146,1.0,-0.34584000397262155,-0.15345967685270337
